# THERMINATOR 2 Log File
[2021-11-11 20:21:54]	therm2_hbtfit	0	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/femtopiMpiM10a.root	hbtfit.ini	0	
[2021-11-11 20:22:17]	therm2_hbtfit	0	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpiMpiM10a.root	hbtradii.txt	
[2021-11-28 16:50:00]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-11-28 16:50:48]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-11-28 16:51:26]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-11-28 16:52:07]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-11-28 16:52:15]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-11-28 16:52:35]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpipi6a.root	hbtradii.txt	
[2021-11-28 16:52:47]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpipi7a.root	hbtradii.txt	
[2021-11-28 16:52:56]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpipi8a.root	hbtradii.txt	
[2021-11-28 16:53:05]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpipi9a.root	hbtradii.txt	
[2021-11-28 16:53:15]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpipi10a.root	hbtradii.txt	
[2021-11-28 16:53:22]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpipi11a.root	hbtradii.txt	
[2021-11-28 17:19:07]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-11-28 17:19:17]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-11-28 17:24:28]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-11-28 17:27:27]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-11-28 17:29:04]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-11-28 17:31:44]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-12-02 22:11:09]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-12-03 18:07:17]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-12-03 18:07:27]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-12-03 18:08:37]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2femto/	/home/jedkol/Downloads/modelSR/HBT/LowTemp/H100E0D2hbtfit/hbtfitpipi6a.root	hbtradii.txt	
[2021-12-03 18:09:15]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H100E0D2femto/	./femtoFit.ini	pion-pion	
[2021-12-03 18:10:08]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-03 18:10:32]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-03 18:10:42]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-12-03 18:11:32]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi6a.root	hbtradii.txt	
[2021-12-03 18:11:44]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi7a.root	hbtradii.txt	
[2021-12-03 18:11:56]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi8a.root	hbtradii.txt	
[2021-12-03 18:12:08]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi9a.root	hbtradii.txt	
[2021-12-03 18:12:20]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi10a.root	hbtradii.txt	
